strain,antismash_gene,start,end,direction,gene_number,molecule_number,antismash_smcog
BGC0000414,qcn14,26192,26987,1,gene14,5,biosynthetic-additional
BGC0000414,qcn15,26983,30355,1,gene15,5,biosynthetic
BGC0000414,qcn16,30436,30646,1,gene16,5,biosynthetic-additional
BGC0000414,qcn17,30795,35256,1,gene17,5,biosynthetic
BGC0000414,qcn18,35337,36372,1,gene18,5,other
BGC0000414,qcn19,36461,39179,1,gene19,5,biosynthetic
BGC0000414,qcn20,39260,40133,-1,gene20,5,regulatory
BGC0000414,qcn21,40397,40925,1,gene21,5,other
BGC0000414,qcn22,40986,41505,1,gene22,5,other
BGC0000414,qcn23,41494,42739,1,gene23,5,other
BGC0000414,qcn24,42786,44076,1,gene24,5,transport
BGC0000421,sfcJ,149,1679,-1,gene1,6,biosynthetic-additional
BGC0000421,sfcI,1668,2331,-1,gene2,6,biosynthetic-additional
BGC0000421,sfcA,2869,5884,1,gene3,6,biosynthetic
BGC0000421,sfcB,5897,9089,1,gene4,6,biosynthetic
BGC0000421,sfcC,9092,13391,1,gene5,6,biosynthetic
BGC0000421,sfcD,13419,14472,1,gene6,6,other
BGC0000421,sfcE,14536,14722,1,gene7,6,biosynthetic-additional
BGC0000421,sfcF,14779,15847,1,gene8,6,biosynthetic-additional
BGC0000421,sfcG,15932,16976,1,gene9,6,biosynthetic-additional
BGC0000421,sfcH,17061,17604,1,gene10,6,other
BGC0000426,sevA,0,3243,1,gene1,7,biosynthetic
BGC0000426,sevB,3267,11658,1,gene2,7,biosynthetic
BGC0000430,NSP_49190,4953879,4955931,-1,gene1,8,transport
BGC0000430,NSP_49200,4956127,4956943,-1,gene2,8,other
BGC0000430,NSP_49210,4957065,4958169,-1,gene3,8,biosynthetic-additional
BGC0000430,NSP_49220,4958299,4959094,-1,gene4,8,other
BGC0000430,NSP_49230,4959156,4971672,-1,gene5,8,biosynthetic
BGC0000430,NSP_49240,4971673,4972474,-1,gene6,8,biosynthetic-additional
BGC0000430,NSP_49250,4972451,4975880,-1,gene7,8,biosynthetic
BGC0001128,plu3263,3865126,3880777,-1,gene1,9,biosynthetic
BGC0001132,XNC1_2022,1902004,1914421,1,gene1,10,biosynthetic
BGC0001135,nrpS,0,16848,1,gene1,11,biosynthetic
BGC0001185,RBAM_029010,3021249,3028377,-1,gene1,12,biosynthetic
BGC0001185,RBAM_029020,3028391,3029318,-1,gene2,12,biosynthetic-additional
BGC0001185,RBAM_029030,3029335,3030961,-1,gene3,12,biosynthetic
BGC0001185,RBAM_029040,3030979,3032176,-1,gene4,12,biosynthetic-additional
BGC0001185,RBAM_029050,3032199,3032970,-1,gene5,12,biosynthetic-additional
BGC0001434,ANG60379.1,0,3510,1,gene1,13,biosynthetic
BGC0001434,ANG60380.1,3506,8210,1,gene2,13,biosynthetic
BGC0001434,ANG60381.1,8206,14218,1,gene3,13,other
BGC0001502,AHA_2473,2741865,2743416,-1,gene1,14,biosynthetic
BGC0001502,AHA_2474,2743412,2749607,-1,gene2,14,biosynthetic
BGC0001502,AHA_2475,2749723,2750473,-1,gene3,14,biosynthetic-additional
BGC0001502,AHA_2476,2750502,2753604,-1,gene4,14,biosynthetic
BGC0001502,AHA_2477,2753600,2754524,-1,gene5,14,biosynthetic-additional
BGC0001502,AHA_2478,2754547,2756209,-1,gene6,14,biosynthetic
BGC0001502,AHA_2479,2756285,2757479,-1,gene7,14,biosynthetic-additional
BGC0001562,AQI70_05450,314040,315708,-1,gene1,15,biosynthetic
BGC0001562,AQI70_05455,315865,316714,-1,gene2,15,other
BGC0001562,AQI70_05460,316777,317251,-1,gene3,15,biosynthetic-additional
BGC0001562,AQI70_05465,317425,318931,-1,gene4,15,biosynthetic-additional
BGC0001562,AQI70_05470,319075,319579,-1,gene5,15,other
BGC0001562,AQI70_05475,319575,320694,-1,gene6,15,other
BGC0001562,AQI70_05480,320742,321129,-1,gene7,15,other
BGC0001562,AQI70_05485,321125,322121,-1,gene8,15,biosynthetic-additional
BGC0001562,AQI70_05490,322179,322389,-1,gene9,15,biosynthetic-additional
BGC0001562,AQI70_05495,322441,330325,-1,gene10,15,biosynthetic
BGC0001562,AQI70_05500,330411,333483,-1,gene11,15,biosynthetic
BGC0001570,A4V12_31625,224544,225639,1,gene1,16,biosynthetic-additional
BGC0001570,A4V12_31630,225970,227287,1,gene2,16,transport
BGC0001570,A4V12_31635,227372,228791,1,gene3,16,biosynthetic
BGC0001570,A4V12_31640,228783,228990,-1,gene4,16,other
BGC0001570,A4V12_31645,229018,232378,1,gene5,16,biosynthetic
BGC0001570,A4V12_31650,232377,234315,1,gene6,16,biosynthetic
BGC0001570,A4V12_31655,234316,236197,1,gene7,16,biosynthetic
BGC0001570,A4V12_31660,236333,239276,1,gene8,16,biosynthetic
BGC0001570,A4V12_31665,239551,240028,1,gene9,16,other
BGC0001698,ANG60379.1,0,3510,1,gene1,17,biosynthetic
BGC0001698,ANG60380.1,3506,8210,1,gene2,17,biosynthetic
BGC0001698,ANG60381.1,8206,14218,1,gene3,17,other
BGC0001748,spuA,0,4191,1,gene1,18,biosynthetic
BGC0001748,spuB,4192,16543,1,gene2,18,biosynthetic
BGC0001748,spuF,16701,18705,1,gene3,18,transport
BGC0001760,SRIM_RS28595,30039,32238,-1,gene1,19,other
BGC0001760,SRIM_RS28590,32504,33305,1,gene2,19,other
BGC0001760,SRIM_RS28585,33372,34245,-1,gene3,19,biosynthetic-additional
BGC0001760,SRIM_RS28580,34300,34876,-1,gene4,19,other
BGC0001760,SRIM_RS28575,34997,36053,-1,gene5,19,other
BGC0001760,SRIM_RS28570,36130,45430,-1,gene6,19,biosynthetic
BGC0001760,SRIM_RS28565,45429,49614,-1,gene7,19,biosynthetic
BGC0001760,SRIM_RS28560,50193,53211,1,gene8,19,biosynthetic
BGC0001760,SRIM_RS28555,53229,54291,-1,gene9,19,other
BGC0001760,SRIM_RS28550,54593,55598,1,gene10,19,other
BGC0001760,SRIM_RS28545,55628,56351,-1,gene11,19,other
BGC0001760,SRIM_RS28540,56350,56914,-1,gene12,19,regulatory
BGC0001760,SRIM_RS28535,57238,58048,1,gene13,19,other
BGC0001760,SRIM_RS28530,58191,59133,1,gene14,19,other
BGC0001767,ctg1_orf16,18413,19001,1,gene1,20,other
BGC0001767,ctg1_orf17,19163,20111,1,gene2,20,biosynthetic-additional
BGC0001767,ctg1_orf18,20367,21708,1,gene3,20,transport
BGC0001767,ctg1_orf19,21846,22872,1,gene4,20,biosynthetic
BGC0001767,ctg1_orf20,23027,38531,1,gene5,20,biosynthetic
BGC0001767,ctg1_orf21,38527,38737,1,gene6,20,other
BGC0001767,ctg1_orf22,38881,40714,1,gene7,20,other
BGC0001767,ctg1_orf23,40769,42482,1,gene8,20,transport
BGC0001767,ctg1_orf24,42768,43764,1,gene9,20,transport
BGC0001767,ctg1_orf25,43760,44900,1,gene10,20,transport
BGC0001767,ctg1_orf26,44896,45775,1,gene11,20,other
BGC0001767,ctg1_orf27,45792,47373,1,gene12,20,other
BGC0001767,ctg1_orf28,47653,48220,1,gene13,20,other
BGC0001813,IF71_RS0139165,1568,2054,-1,gene1,21,other
BGC0001813,IF71_RS0139170,2545,4303,1,gene2,21,other
BGC0001813,IF71_RS0139175,4610,5087,-1,gene3,21,other
BGC0001813,IF71_RS0139180,5222,15878,-1,gene4,21,biosynthetic
BGC0001813,IF71_RS1000000145670,15971,16751,1,gene5,21,biosynthetic-additional
BGC0001813,IF71_RS0139190,16776,18336,-1,gene6,21,biosynthetic
BGC0001813,IF71_RS0139195,18416,19691,-1,gene7,21,transport
BGC0001813,IF71_RS0139200,19687,20836,-1,gene8,21,biosynthetic-additional
BGC0001813,IF71_RS0139205,20841,21864,-1,gene9,21,biosynthetic
BGC0001813,IF71_RS0139210,21860,22976,-1,gene10,21,biosynthetic-additional
BGC0001813,IF71_RS0139215,22972,23266,-1,gene11,21,biosynthetic-additional
BGC0001813,IF71_RS0139220,23262,24129,-1,gene12,21,biosynthetic-additional
BGC0001813,IF71_RS0139225,24167,27602,-1,gene13,21,biosynthetic-additional
BGC0001813,IF71_RS1000000148350,27598,27967,-1,gene14,21,biosynthetic-additional
BGC0001813,IF71_RS0139235,27995,28829,-1,gene15,21,other
BGC0001825,XNC2_RS11345,2673981,2688831,1,gene1,22,biosynthetic
